,Years,Power_Consumption (Twh),Footprint (Mt CO2)
2,2017,37.1658822383569,17.051580406958536
3,2018,63.40992403464706,29.09225755335435
4,2019,60.21341278989344,27.625709062399622
5,2020,59.62789653887861,27.35707619718927
6,2021,200.82821038575906,92.13930010907093
