,Years,Power_Consumption (Twh),Footprint (Mt CO2),
2,2017,37.16588224,17.05158041,
3,2018,63.40992403,29.09225755,70.61326199
4,2019,60.21341279,27.62570906,-5.041026769
5,2020,59.62789654,27.3570762,-0.972401702
6,2021,200.8282104,92.13930011,236.8024399
