,Years,Power_Consumption (Twh),Footprint (Mt CO2),
0,2017,6.165374487,2.828652852,
1,2018,16.88188057,7.745349408,173.817602
2,2019,7.920307651,3.633810221,-53.08397298
3,2020,9.072771097,4.162556532,14.55074092
4,2021,54.96830507,25.21927148,505.8601555
